categories_list,FinanceSub,CapitalSub,ProcurementSub,LegalSub,ManufacturingSub,MarketingSub,MentoringSub,NetworkingSub,PlanningSub,RDSub,RegulatorySub,SpaceSub,HRSub,industries_list,communities_list
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Insurance Requirements,State and Federal Tax Training and Registration,Tax Credits","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Feasibility Studies,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities,Website Development","Formal Mentoring Programs,One-to-One Counseling",Networking/Exploring Exporting,"","","","","",Health & Childcare,"Hispanic,LGBTQ,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration,Tax Credits","","Graphic Design,HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects,Subcontracting Opportunities","","Geographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Construction,Education,Health & Childcare,Management,Manufacturing,Other Services,Wholesale","African American,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Competitive Analysis,Graphic Design,Import/Export Certification and Licensing,International Trade Training,Obtaining Government Contracts,Subcontracting Opportunities,Trade Education and Training","Formal Mentoring Programs,Peer Mentoring","Geographically Based,Industry Specific,Small Business/General","","","","","","High Tech Services & Manufacturing,Management,Professional Services,Real Estate,Restaurant & Hotel","Immigrant,Native American,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Lease Review,State and Federal Tax Training and Registration","","Call Center Services,E-Commerce/Internet Marketing,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Subcontracting Opportunities,Website Development",Peer Mentoring,Small Business/General,"","","","","","Education,High Tech Services & Manufacturing,Manufacturing,Other Services,Personal Services,Retail","Hispanic,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,Feasibility Studies,Graphic Design,Import/Export Certification and Licensing,Trade Education and Training","",Industry Specific,"","","","","","Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Real Estate,Retail,Tourism","Hispanic,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Insurance Requirements,Registration, Licenses, & Permits","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Graphic Design,Identification/Research of Foreign Markets,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Website Development","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring","","","","","","","Biosciences Services and Manufacturing,Energy & Utilities,Information Technology,Other Services,Professional Services,Real Estate","LGBTQ,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Government Requirements,Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,HUBZone Certification,International Trade Training,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Subcontracting Opportunities",One-to-One Counseling,"Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Energy & Utilities,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Management,Real Estate,Retail,Wholesale","African American,Immigrant,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Call Center Services,Feasibility Studies,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Subcontracting Opportunities","","Demographically Based,Industry Specific,Small Business/General","","","","","","Construction,Energy & Utilities,Fiance & Insurance,High Tech Services & Manufacturing,Manufacturing,Not for Profit,Other Services,Restaurant & Hotel",Immigrant
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","International Trade Training,Locating Foreign Distributors,Market Research,Selling to Foreign Governments and Businesses,Website Development","",Industry Specific,"","","","","","Energy & Utilities,High Tech Services & Manufacturing,Personal Services,Real Estate,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing,Wholesale","Immigrant,Other,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Call Center Services,International Trade Training,Locating Foreign Distributors,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Subcontracting Opportunities","","Demographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Biosciences Services and Manufacturing,Education,Energy & Utilities,Health & Childcare,Information Technology,Retail,Wholesale","Hispanic,Immigrant,LGBTQ,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Lease Review,Registration, Licenses, & Permits","","Bid Matching and Preparation,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Locating Foreign Distributors,Obtaining Government Contracts",One-to-One Counseling,Networking/Exploring Exporting,"","","","","","Agriculture,Education,Information Technology,Management,Other Services,Professional Services,Retail,Transportation & Warehousing",LGBTQ
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,International Regulatory Compliance,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration,Tax Credits","","Competitive Analysis,HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development","Formal Mentoring Programs,One-to-One Counseling","Demographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Fiance & Insurance,Health & Childcare,Information Technology,Real Estate,Retail,Transportation & Warehousing","Hispanic,Immigrant,LGBTQ,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","E-Commerce/Internet Marketing,Graphic Design,Market Research,Obtaining Government Contracts",Peer Mentoring,"Demographically Based,Industry Specific,Small Business/General","","","","","","Agriculture,Arts,Energy & Utilities,High Tech Services & Manufacturing,Other Services,Personal Services,Real Estate,Retail","African American,LGBTQ,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,International Regulatory Compliance,Lease Review,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Subcontracting Opportunities,Website Development","","Industry Specific,Networking/Exploring Exporting","","","","","","Agriculture,High Tech Services & Manufacturing,Information Technology,Tourism",Woman
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Registration, Licenses, & Permits","","Graphic Design,Identification/Research of Foreign Markets,Obtaining Government Contracts,Website Development","Formal Mentoring Programs,One-to-One Counseling,Peer Mentoring",Small Business/General,"","","","","","Agriculture,Arts,Energy & Utilities,Management,Manufacturing,Other Services,Professional Services,Transportation & Warehousing","African American,Asian,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,International Regulatory Compliance,Registration, Licenses, & Permits","","Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Trade Education and Training","","Industry Specific,Small Business/General","","","","","","Energy & Utilities,Fiance & Insurance,Management,Not for Profit,Wholesale","Immigrant,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Market Plan Development and Training,Obtaining Government Contracts,Student Research/Marketing Projects,Subcontracting Opportunities","","","","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Health & Childcare,High Tech Services & Manufacturing,Restaurant & Hotel,Wholesale",Immigrant
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Feasibility Studies,Market Plan Development and Training,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses",One-to-One Counseling,Industry Specific,"","","","","","Agriculture,Arts,Construction,Energy & Utilities,Fiance & Insurance,Management,Personal Services,Professional Services,Restaurant & Hotel,Retail,Transportation & Warehousing,Wholesale","Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,International Regulatory Compliance,Lease Review","","Call Center Services,HUBZone Certification,Locating Foreign Distributors,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Trade Education and Training","Formal Mentoring Programs,One-to-One Counseling","Geographically Based,Industry Specific,Small Business/General","","","","","","High Tech Services & Manufacturing,Other Services,Professional Services,Tourism,Transportation & Warehousing","Hispanic,LGBTQ,Other,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Competitive Analysis,HUBZone Certification,Import/Export Certification and Licensing,Market Plan Development and Training,Networking/Exploring Exporting,Subcontracting Opportunities","","Geographically Based,Small Business/General","","","","","","Arts,Manufacturing,Retail,Transportation & Warehousing","African American,Hispanic,Immigrant,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Lease Review,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,Graphic Design,International Trade Training,Locating Foreign Distributors,Obtaining Corporate Contracts","","Demographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Management,Restaurant & Hotel,Wholesale","African American,LGBTQ,Native American,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Selling to Foreign Governments and Businesses",Peer Mentoring,"Geographically Based,Networking/Exploring Exporting","","","","","","High Tech Services & Manufacturing,Not for Profit,Retail","Hispanic,Veteran,Woman,Ex-Convict,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,International Regulatory Compliance,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies","One-to-One Counseling,Peer Mentoring","","","","","","","Fiance & Insurance,Manufacturing,Other Services,Professional Services,Real Estate,Retail,Transportation & Warehousing","Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Government Requirements,Insurance Requirements,State and Federal Tax Training and Registration","","Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,International Trade Training,Networking/Exploring Exporting,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Website Development","",Geographically Based,"","","","","","Agriculture,Biosciences Services and Manufacturing,Construction,Fiance & Insurance,Health & Childcare,Information Technology,Management,Manufacturing,Retail,Wholesale","African American,Immigrant,LGBTQ,Native American,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Patent, Trademark, & Copyright Information,Tax Credits","","E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,International Trade Training,Market Plan Development and Training,Student Research/Marketing Projects,Trade Education and Training",Peer Mentoring,Industry Specific,"","","","","","Biosciences Services and Manufacturing,Education,Fiance & Insurance,Information Technology,Restaurant & Hotel,Tourism,Wholesale",Ex-Convict
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Government Requirements,International Regulatory Compliance,Lease Review,Registration, Licenses, & Permits","","Call Center Services,HUBZone Certification,International Trade Training,Market Plan Development and Training,Market Research,Student Research/Marketing Projects,Subcontracting Opportunities,Website Development",Formal Mentoring Programs,"Networking/Exploring Exporting,Small Business/General","","","","","","Arts,Education,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Management,Professional Services,Tourism","African American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Bid Matching and Preparation,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Subcontracting Opportunities",Formal Mentoring Programs,"Geographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Biosciences Services and Manufacturing,Construction,Education,Health & Childcare,High Tech Services & Manufacturing,Information Technology,Management,Manufacturing,Not for Profit,Real Estate","Asian,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,State and Federal Tax Training and Registration,Tax Credits","","Call Center Services,HUBZone Certification,Identification/Research of Foreign Markets",One-to-One Counseling,"Demographically Based,Industry Specific","","","","","","Energy & Utilities,Fiance & Insurance,Health & Childcare,Professional Services,Tourism,Transportation & Warehousing,Wholesale","African American,Asian,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Insurance Requirements,Registration, Licenses, & Permits","","Call Center Services,Feasibility Studies,HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Plan Development and Training","","Demographically Based,Small Business/General","","","","","","Biosciences Services and Manufacturing,Fiance & Insurance,High Tech Services & Manufacturing,Information Technology,Not for Profit,Retail,Tourism,Transportation & Warehousing,Wholesale","African American,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Insurance Requirements,Lease Review","","Feasibility Studies,Identification/Research of Foreign Markets,Selling to Foreign Governments and Businesses,Trade Education and Training",One-to-One Counseling,"","","","","","","Education,Energy & Utilities,High Tech Services & Manufacturing,Information Technology,Other Services,Personal Services,Professional Services,Real Estate,Restaurant & Hotel","Immigrant,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,Tax Credits","","Feasibility Studies,Import/Export Certification and Licensing,International Trade Training,Market Research,Obtaining Government Contracts,Website Development","",Demographically Based,"","","","","","Construction,Fiance & Insurance,Management,Manufacturing,Personal Services,Real Estate","African American,Asian,Native American,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,State and Federal Tax Training and Registration,Tax Credits","","Bid Matching and Preparation,Import/Export Certification and Licensing,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Obtaining Corporate Contracts,Trade Education and Training,Website Development","","Geographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Construction,Energy & Utilities,Health & Childcare,Manufacturing,Personal Services,Tourism,Transportation & Warehousing","Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Registration, Licenses, & Permits","","Call Center Services,Competitive Analysis,E-Commerce/Internet Marketing,Feasibility Studies,Graphic Design,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Research,Obtaining Government Contracts,Student Research/Marketing Projects,Subcontracting Opportunities","","","","","","","","Energy & Utilities,Fiance & Insurance,Management,Professional Services,Transportation & Warehousing","Hispanic,LGBTQ,Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information","","Bid Matching and Preparation,HUBZone Certification,Identification/Research of Foreign Markets,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Trade Education and Training","Formal Mentoring Programs,Peer Mentoring",Networking/Exploring Exporting,"","","","","","Arts,Health & Childcare,Real Estate,Tourism","African American,Native American,Woman,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Tax Credits","","Bid Matching and Preparation,Call Center Services,HUBZone Certification,Identification/Research of Foreign Markets,Student Research/Marketing Projects","",Demographically Based,"","","","","","Agriculture,Arts,Energy & Utilities,Information Technology,Management,Manufacturing,Not for Profit,Personal Services,Restaurant & Hotel,Transportation & Warehousing","Asian,Hispanic,LGBTQ,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Lease Review,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,International Trade Training,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects","",Small Business/General,"","","","","","Arts,Fiance & Insurance,Health & Childcare,High Tech Services & Manufacturing,Management,Not for Profit,Other Services,Real Estate,Restaurant & Hotel,Retail,Tourism,Transportation & Warehousing,Wholesale","Asian,Hispanic,Immigrant,Native American,Other,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,State and Federal Tax Training and Registration","","Competitive Analysis,International Trade Training,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Subcontracting Opportunities,Trade Education and Training","",Networking/Exploring Exporting,"","","","","","Not for Profit,Real Estate,Retail,Tourism,Transportation & Warehousing,Wholesale","African American,Asian,LGBTQ,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Bid Matching and Preparation,E-Commerce/Internet Marketing,Feasibility Studies,Identification/Research of Foreign Markets,International Trade Training,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Website Development","","Industry Specific,Small Business/General","","","","","","Agriculture,Education,Energy & Utilities,High Tech Services & Manufacturing,Management,Other Services,Personal Services,Real Estate,Tourism","African American,Hispanic,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,International Regulatory Compliance,Patent, Trademark, & Copyright Information,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Market Research,Networking/Exploring Exporting,Obtaining Corporate Contracts,Obtaining Government Contracts,Student Research/Marketing Projects","","Geographically Based,Networking/Exploring Exporting","","","","","","Agriculture,Arts,Construction,Education,Health & Childcare,Information Technology,Management,Real Estate","African American,Immigrant,Native American,Other,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Government Requirements,International Regulatory Compliance,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,Student Research/Marketing Projects,Subcontracting Opportunities",Formal Mentoring Programs,Small Business/General,"","","","","","Agriculture,Arts,Biosciences Services and Manufacturing,Education,Management,Not for Profit,Real Estate,Retail,Tourism","African American,Asian,LGBTQ,Other"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Registration, Licenses, & Permits,Tax Credits","","Call Center Services,Graphic Design,HUBZone Certification,Identification/Research of Foreign Markets,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects","Formal Mentoring Programs,One-to-One Counseling","Demographically Based,Industry Specific,Networking/Exploring Exporting","","","","","","Arts,High Tech Services & Manufacturing,Information Technology,Management,Manufacturing,Personal Services,Real Estate,Transportation & Warehousing","Hispanic,LGBTQ,Other,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","International Regulatory Compliance,Patent, Trademark, & Copyright Information","","Feasibility Studies,Graphic Design,International Trade Training,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Formal Mentoring Programs,"Geographically Based,Small Business/General","","","","","","Agriculture,Management,Personal Services,Tourism","African American,Hispanic,Immigrant,Native American,Other,Veteran,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Forming a Business,International Regulatory Compliance,Tax Credits","","Identification/Research of Foreign Markets,Market Plan Development and Training,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Trade Education and Training,Website Development","Formal Mentoring Programs,Peer Mentoring",Industry Specific,"","","","","","Agriculture,Energy & Utilities,Health & Childcare,Management,Personal Services,Professional Services,Real Estate,Retail,Transportation & Warehousing,Wholesale","African American,Asian,Hispanic,Native American,Other,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Government Requirements,Tax Credits","","Call Center Services,Feasibility Studies,Graphic Design,International Trade Training,Locating Foreign Distributors,Market Research,Selling to Foreign Governments and Businesses",One-to-One Counseling,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Construction,Energy & Utilities,Health & Childcare,Real Estate","African American,Asian,LGBTQ,Woman,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Insurance Requirements,Lease Review","","Graphic Design,HUBZone Certification,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Obtaining Corporate Contracts,Obtaining Government Contracts,Selling to Foreign Governments and Businesses",One-to-One Counseling,"","","","","","","Agriculture,Biosciences Services and Manufacturing,Education,Restaurant & Hotel,Transportation & Warehousing","Immigrant,Native American,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","",Government Requirements,"","Bid Matching and Preparation,Call Center Services,Graphic Design,Import/Export Certification and Licensing,Locating Foreign Distributors,Networking/Exploring Exporting,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",One-to-One Counseling,"Demographically Based,Networking/Exploring Exporting,Small Business/General","","","","","","Agriculture,Education,Health & Childcare,Information Technology,Manufacturing,Other Services,Retail,Transportation & Warehousing,Wholesale","Asian,Immigrant,Native American,Veteran"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Registration, Licenses, & Permits,Tax Credits","","Bid Matching and Preparation,HUBZone Certification,International Trade Training,Locating Foreign Distributors,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Selling to Foreign Governments and Businesses,Website Development","One-to-One Counseling,Peer Mentoring",Demographically Based,"","","","","","Agriculture,Construction,Energy & Utilities,High Tech Services & Manufacturing,Real Estate,Retail,Tourism,Transportation & Warehousing","African American,LGBTQ,Native American,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Government Requirements,Insurance Requirements,Lease Review,Registration, Licenses, & Permits","","Call Center Services,E-Commerce/Internet Marketing,HUBZone Certification,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Government Contracts,Subcontracting Opportunities",One-to-One Counseling,Networking/Exploring Exporting,"","","","","","Agriculture,Construction,Energy & Utilities,Fiance & Insurance,Manufacturing,Restaurant & Hotel,Tourism,Transportation & Warehousing","African American,Asian,Native American"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Government Requirements,Lease Review,Patent, Trademark, & Copyright Information,Tax Credits","","Bid Matching and Preparation,Competitive Analysis,E-Commerce/Internet Marketing,Identification/Research of Foreign Markets,Market Plan Development and Training,Market Research,Obtaining Corporate Contracts,Student Research/Marketing Projects,Subcontracting Opportunities",Formal Mentoring Programs,Small Business/General,"","","","","","Arts,Energy & Utilities,High Tech Services & Manufacturing,Information Technology,Management,Retail",Other
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,International Regulatory Compliance,Registration, Licenses, & Permits","","Bid Matching and Preparation,Feasibility Studies,Graphic Design,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Locating Foreign Distributors,Market Research,Obtaining Corporate Contracts,Trade Education and Training,Website Development",One-to-One Counseling,"Geographically Based,Industry Specific","","","","","","Biosciences Services and Manufacturing,Education,Management,Manufacturing,Not for Profit,Other Services,Tourism,Wholesale","African American,Asian,Native American,Other,Veteran,Ex-Convict"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Environmental Compliance,Forming a Business,Insurance Requirements,Patent, Trademark, & Copyright Information,Registration, Licenses, & Permits","","Feasibility Studies,Market Research,Obtaining Government Contracts,Selling to Foreign Governments and Businesses",One-to-One Counseling,"Demographically Based,Geographically Based,Small Business/General","","","","","","Construction,Energy & Utilities,Information Technology,Management,Manufacturing,Professional Services,Real Estate,Retail,Tourism","Immigrant,LGBTQ,Native American,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Environmental Compliance,Insurance Requirements,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Call Center Services,Feasibility Studies,Graphic Design,Market Research,Networking/Exploring Exporting,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects",Peer Mentoring,"Demographically Based,Geographically Based","","","","","","Agriculture,Education,Energy & Utilities,Health & Childcare,Management,Manufacturing,Not for Profit,Other Services,Personal Services,Professional Services,Restaurant & Hotel,Tourism","Asian,Hispanic,Other,Veteran,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Forming a Business,Registration, Licenses, & Permits,Tax Credits","","Competitive Analysis,Identification/Research of Foreign Markets,Import/Export Certification and Licensing,Networking/Exploring Exporting,Obtaining Government Contracts,Selling to Foreign Governments and Businesses,Student Research/Marketing Projects,Website Development","Formal Mentoring Programs,One-to-One Counseling","","","","","","","Education,Energy & Utilities,Not for Profit,Other Services,Restaurant & Hotel","African American,Asian,Hispanic,Immigrant,LGBTQ,Native American,Woman"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Insurance Requirements,State and Federal Tax Training and Registration","","Bid Matching and Preparation,Competitive Analysis,HUBZone Certification,Import/Export Certification and Licensing,Market Plan Development and Training,Networking/Exploring Exporting,Obtaining Corporate Contracts,Subcontracting Opportunities,Trade Education and Training","","Demographically Based,Industry Specific","","","","","","Agriculture,Education,Energy & Utilities,Health & Childcare,Information Technology,Not for Profit,Personal Services,Restaurant & Hotel,Retail,Wholesale","African American,Other,NOT TARGETED"
"Legal Services,Marketing/Sales,Networking,Mentoring/Counseling","","","","Contract Review,Forming a Business,Government Requirements,State and Federal Tax Training and Registration","","Call Center Services,Feasibility Studies,Import/Export Certification and Licensing,Networking/Exploring Exporting,Trade Education and Training,Website Development","",Networking/Exploring Exporting,"","","","","","Agriculture,Energy & Utilities,Health & Childcare,High Tech Services & Manufacturing,Information Technology,Not for Profit,Personal Services,Real Estate,Tourism,Wholesale","Immigrant,Native American,Other,NOT TARGETED"
